NAME	VALUE	DEFAULT_VALUE	DATA_TYPE	EDIT_LEVEL	SECTION	INFO
compaction_schedule_tablet_batch_cnt	50000	50000	INT	DYNAMIC_EFFECTIVE	TENANT	the batch size when scheduling tablet to execute compaction task. Range: [10000,500000] in integer. default value is 50000
compatible	4.5.0.0	4.5.0.0	VERSION	DYNAMIC_EFFECTIVE	ROOT_SERVICE	compatible version for persisted data
config_additional_dir	etc2;etc3	etc2;etc3	STR_LIST	DYNAMIC_EFFECTIVE	OBSERVER	additional directories of configure file
connection_control_failed_connections_threshold	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	The number of consecutive failed connection attempts permitted to accountsbefore the server adds a delay for subsequent connection attempts
connection_control_max_connection_delay	2147483647	2147483647	INT	DYNAMIC_EFFECTIVE	OBSERVER	The maximum delay in milliseconds for server response to failed connection attempts, if connection_control_failed_connections_threshold is greater than zero
connection_control_min_connection_delay	1000	1000	INT	DYNAMIC_EFFECTIVE	OBSERVER	The minimum delay in milliseconds for server response to failed connection attempts, if connection_control_failed_connections_threshold is greater than zero.
cpu_count	4	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the number of CPU\'s in the system. If this parameter is set to zero, the number will be set according to sysconf; otherwise, this parameter is used. Range: [0,+∞) in integer
cpu_quota_concurrency	10	4	DOUBLE	DYNAMIC_EFFECTIVE	TENANT	max allowed concurrency for 1 CPU quota. Range: [1,20]
datafile_disk_percentage	0	0	INT	DYNAMIC_EFFECTIVE	SSTABLE	the percentage of disk space used by the data files. Range: [0,99] in integer
datafile_maxsize	0	0	CAPACITY	DYNAMIC_EFFECTIVE	SSTABLE	the auto extend max size. Range: [0, +∞)
datafile_next	0	0	CAPACITY	DYNAMIC_EFFECTIVE	SSTABLE	the auto extend step. Range: [0, +∞)
datafile_size	20G	0M	CAPACITY	DYNAMIC_EFFECTIVE	SSTABLE	size of the data file. Range: [0, +∞)
data_dir	/home/admin/oceanbase-data/store	store	STRING	READONLY	SSTABLE	the directory for the data file
data_disk_usage_limit_percentage	90	90	INT	DYNAMIC_EFFECTIVE	OBSERVER	the safe use percentage of data diskRange: [50,100] in integer
data_disk_write_limit_percentage	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	used to stop user write operations. When the user data disk reaches this watermark, SQL requests will report that the disk is full. The configuration should be greater than data_disk_usage_limit_percentage, with the recommended setting being: (1 - memstore_limit_size / data_disk_size) * 100%
data_storage_error_tolerance_time	300s	300s	TIME	DYNAMIC_EFFECTIVE	OBSERVER	time to tolerate disk read failure, after that, the disk status will be set error. Range [10s,7200s]. The default value is 300s
data_storage_warning_tolerance_time	5s	5s	TIME	DYNAMIC_EFFECTIVE	OBSERVER	time to tolerate disk read failure, after that, the disk status will be set warning. Range [1s,300s]. The default value is 5s
ddl_high_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of ddl high thread. Range: [0,100] in integer. Especially, 0 means default value
ddl_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of ddl thread. Range: [0,100] in integer. Especially, 0 means default value
dead_socket_detection_timeout	3s	3s	TIME	DYNAMIC_EFFECTIVE	OBSERVER	specify a tcp_user_timeout for RFC5482. A zero value makes the option disabled, Range: [0, 2h]
debug_sync_timeout	0	0	TIME	DYNAMIC_EFFECTIVE	OBSERVER	Enable the debug sync facility and optionally specify a default wait timeout in micro seconds. A zero value keeps the facility disabled, Range: [0, +∞]
default_auto_increment_mode	order	order	STRING	DYNAMIC_EFFECTIVE	OBSERVER	specifies default auto-increment mode, default is 'order'
default_compress	archive	archive	STRING	DYNAMIC_EFFECTIVE	OBSERVER	default compress strategy for create new table within oracle mode
default_compress_func	zstd_1.3.8	zstd_1.3.8	STRING	DYNAMIC_EFFECTIVE	OBSERVER	default compress function name for create new table, values: none, lz4_1.0, snappy_1.0, zstd_1.0, zstd_1.3.8, zstd_1.5.7
default_enable_extended_rowid	False	false	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether to create table as extended rowid mode or not
default_load_mode	DISABLED	DISABLED	STRING	DYNAMIC_EFFECTIVE	TENANT	"Specifies default load data path.""DISABLED"" represent load data not in direct load path (default value).""FULL_DIRECT_WRITE"" represent load data in full direct load path with insert semantics.""INC_DIRECT_WRITE"" represent load data in inc direct load path with insert semantics.""INC_REPLACE_DIRECT_WRITE"" represent load data in inc direct load path with replace semantics."
default_micro_block_format_version	2	2	INT	DYNAMIC_EFFECTIVE	TENANT	specify the default micro block format version when create table
default_progressive_merge_num	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	default progressive_merge_num when tenant create tableRange:[0,)
default_row_format	dynamic	dynamic	STRING	DYNAMIC_EFFECTIVE	OBSERVER	default row format in mysql mode
default_skip_index_level	0	0	INT	DYNAMIC_EFFECTIVE	TENANT	Specify the default skip_index_level when creating table.
default_storage_cache_policy	AUTO	AUTO	STRING	DYNAMIC_EFFECTIVE	OBSERVER	default storage cache policy for tenant, values: HOT/AUTO
default_table_merge_engine	PARTIAL_UPDATE	PARTIAL_UPDATE	STRING	DYNAMIC_EFFECTIVE	TENANT	Specify the default merge_engine when creating table: partial_update, delete_insert.
default_table_organization	INDEX	INDEX	STRING	DYNAMIC_EFFECTIVE	TENANT	The default_organization configuration option allows you to set the default table organization mode to either HEAP (unordered data storage) or INDEX (the data rows are held in an index defined on the primary key for the table) when creating new tables.
default_table_store_format	row	row	STRING	DYNAMIC_EFFECTIVE	TENANT	Specify the default storage format of creating table: row, column, compound format of row and columnvalues: row, column, compound
devname	lo	bond0	STRING	READONLY	OBSERVER	name of network adapter
diag_syslog_per_error_limit	200	200	INT	DYNAMIC_EFFECTIVE	OBSERVER	DIAG syslog limitation for each error per second, exceeding syslog would be truncated
direct_load_allow_fallback	True	True	BOOL	DYNAMIC_EFFECTIVE	TENANT	Control whether an error is reported when direct load of the derivative operation scenario is not supported.
disk_io_thread_count	8	8	INT	DYNAMIC_EFFECTIVE	OBSERVER	The number of io threads on each disk. The default value is 8. Range: [2,32] in even integer
dtl_buffer_size	64K	64K	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	to be removed
dump_data_dictionary_to_log_interval	0s	0s	TIME	DYNAMIC_EFFECTIVE	TENANT	data dictionary dump to log(SYS LS) intervalRange: (0s,+∞)
enable_adaptive_plan_cache	False	False	BOOL	DYNAMIC_EFFECTIVE	TENANT	enable/disable adaptive plan cache
enable_async_syslog	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether use async log for observer.log, elec.log and rs.log
enable_auto_split	False	False	BOOL	DYNAMIC_EFFECTIVE	TENANT	if the auto-partition clause is not used, this config judge whether to enable auto-partition for creating table.
enable_cgroup	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	when set to false, cgroup will not init; when set to true but cgroup root dir is not ready, print ERROR
enable_database_sharding_none	False	False	BOOL	DYNAMIC_EFFECTIVE	LOAD_BALANCE	Enable automatic creation of sharding none tablegroup for new databases in MySQL mode.
enable_dblink	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	Enable or disable dblink
enable_ddl	True	True	BOOL	DYNAMIC_EFFECTIVE	ROOT_SERVICE	specifies whether DDL operation is turned on. Value:  True:turned on;  False: turned off
enable_early_lock_release	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	enable early lock release
enable_global_background_resource_isolation	False	False	BOOL	STATIC_EFFECTIVE	OBSERVER	When set to false, foreground and background tasks are isolated within the tenant; When set to true, isolate background tasks individually upon tenant-level
enable_kv_ttl	False	False	BOOL	DYNAMIC_EFFECTIVE	ROOT_SERVICE	specifies whether ttl task is enbled
enable_lock_priority	False	False	BOOL	DYNAMIC_EFFECTIVE	TRANS	specifies whether to enable lock priority, which, when activated, gives certain DDL operations the highest table lock precedence.
enable_logservice	False	False	BOOL	READONLY	OBSERVER	specifies whether to use logservice. The default value is False
enable_major_freeze	True	True	BOOL	DYNAMIC_EFFECTIVE	ROOT_SERVICE	specifies whether major_freeze function is turned on. Value:  True:turned on;  False: turned off
enable_manual_storage_cache_policy	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	enable user manual storage cache policy.
enable_monotonic_weak_read	False	false	BOOL	DYNAMIC_EFFECTIVE	TENANT	specifies observer supportting atomicity and monotonic order read
enable_ob_error_msg_style	True	True	BOOL	STATIC_EFFECTIVE	OBSERVER	A switch that determines whether to use the ORA-xx or OBE-xx error code format for ORA error codes, with a default value of True to use the OBE-xx format.The default value is True. Value: False means we use the ORA-xx format, True means we use the OBE-xx format.
enable_ob_ratelimit	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	enable ratelimit between regions for RPC connection.
enable_perf_event	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether to enable perf event feature. The default value is True.
enable_ps_parameterize	True	True	BOOL	DYNAMIC_EFFECTIVE	TENANT	Used to control enable or disable parameterization in PS statement parsing
enable_rebalance	True	True	BOOL	DYNAMIC_EFFECTIVE	LOAD_BALANCE	specifies whether the tenant load-balancing is turned on. Value:  True:turned on  False: turned off
enable_record_trace_id	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether record app trace id is turned on.
enable_record_trace_log	False	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether to always record the trace log. The default value is True.
enable_rereplication	True	True	BOOL	DYNAMIC_EFFECTIVE	LOAD_BALANCE	specifies whether the auto-replication is turned on. Value:  True:turned on  False: turned off
enable_rich_error_msg	False	false	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether add ip:port, time and trace id to user error message. The default value is FALSE.
enable_rpc_authentication_bypass	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether allow OMS service to connect cluster and provide service when rpc authentication is turned on.
enable_sql_audit	True	true	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether SQL audit is turned on. The default value is TRUE. Value: TRUE: turned on FALSE: turned off
enable_sql_extension	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether to allow use some oracle mode features in mysql mode
enable_sql_operator_dump	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether sql operators (sort/hash join/material/window function/interm result/...) allowed to write to disk
enable_syslog_recycle	True	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether log file recycling is turned on. Value: True：turned on; False: turned off
enable_syslog_wf	True	True	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether any log message with a log level higher than \'WARN\' would be printed into a separate file with a suffix of \'wf\'
enable_sys_table_ddl	False	False	BOOL	DYNAMIC_EFFECTIVE	ROOT_SERVICE	specifies whether a \'system\' table is allowed be to created manually. Value: True: allowed; False: not allowed
enable_sys_unit_standalone	False	False	BOOL	DYNAMIC_EFFECTIVE	LOAD_BALANCE	specifies whether sys unit standalone deployment is turned on. Value:  True:turned on  False: turned off
enable_tcp_keepalive	True	true	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	enable TCP keepalive for the TCP connection of sql protocol. Take effect for new established connections.
enable_transfer	True	True	BOOL	DYNAMIC_EFFECTIVE	LOAD_BALANCE	controls whether transfers are allowed in the tenant. This config does not take effect when enable_rebalance is disabled. Value:  True:turned on  False:turned off
enable_upgrade_mode	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specifies whether upgrade mode is turned on. If turned on, daily merger and balancer will be disabled. Value: True: turned on; False: turned off;
enable_user_defined_rewrite_rules	False	False	BOOL	DYNAMIC_EFFECTIVE	OBSERVER	specify whether the user defined rewrite rules are enabled. Value: True: enable  False: disable
external_kms_info			STRING	DYNAMIC_EFFECTIVE	OBSERVER	when using the external key management center, this parameter will store some key management information
external_table_disk_cache_max_percentage	50	50	INT	DYNAMIC_EFFECTIVE	SSTABLE	The maximum ratio of external table disk space to datafile_size in shared-nothing mode, ranges from [0, 95] in integer, with a default of 50
external_table_io_hole_size	1M	1M	CAPACITY	DYNAMIC_EFFECTIVE	TENANT	deternimistic the maximum distance in bytes between two consecutive ranges; beyond this value, ranges are not combined
external_table_io_range_size	8M	8M	CAPACITY	DYNAMIC_EFFECTIVE	TENANT	deternimistic the maximum size in bytes of a combined range; if combining two consecutive ranges would produce a range of a size greater than this, they are not combined
freeze_trigger_percentage	20	20	INT	DYNAMIC_EFFECTIVE	TENANT	the threshold of the size of the mem store when freeze will be triggered. Rang:(0,100)
fuse_row_cache_priority	1	1	INT	DYNAMIC_EFFECTIVE	CACHE	fuse row cache priority. Range:[1, )
global_background_cpu_quota	-1	-1	DOUBLE	DYNAMIC_EFFECTIVE	OBSERVER	When enable_global_background_resource_isolation is True, specify the number of vCPUs allocated to the background tasks-1 for the CPU is not limited by the cgroup
global_index_auto_split_policy	ALL	ALL	STRING	DYNAMIC_EFFECTIVE	TENANT	if the auto-partition clause is not used, this config judge whether to enable auto-partition for global index.DISTRIBUTED: enable auto-partition for creating global index if tenant has multiple nodes, e.g., multiple primary zones or multiple units;ALL: enable auto-partition for creating all global index;OFF: disable auto-partition for all global index.
ha_high_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of high availability high thread. Range: [0,100] in integer. Especially, 0 means default value
ha_low_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of high availability low thread. Range: [0,100] in integer. Especially, 0 means default value
ha_mid_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of high availability mid thread. Range: [0,100] in integer. Especially, 0 means default value
high_priority_net_thread_count	0	0	INT	STATIC_EFFECTIVE	OBSERVER	the number of rpc I/O threads for high priority messages, 0 means set off. Range: [0, 64] in integer
ignore_replay_checksum_error	True	True	BOOL	DYNAMIC_EFFECTIVE	TRANS	specifies whether error raised from the memtable replay checksum validation can be ignored. Value: True:ignored; False: not ignored
inc_sstable_upload_thread_score	0	0	INT	DYNAMIC_EFFECTIVE	OBSERVER	the current work thread score of upload incremental sstable to shared storage Range: [0,100] in integer. Especially, 0 means default value
index_block_cache_priority	10	10	INT	DYNAMIC_EFFECTIVE	CACHE	index cache priority. Range:[1, )
internal_sql_execute_timeout	30s	30s	TIME	DYNAMIC_EFFECTIVE	OBSERVER	the number of microseconds an internal DML request is permitted to execute before it is terminated. Range: [1000us, 1h]
io_scheduler_thread_count	4	4	INT	STATIC_EFFECTIVE	OBSERVER	Range: [1, 16] in integer. This parameter is used to adjust the number of threads in the I/O scheduler. The default value is 4. You can set it within the range of 1 to 16 to control the concurrency level of the I/O scheduler.
job_queue_processes	1000	1000	INT	DYNAMIC_EFFECTIVE	OBSERVER	specifies the maximum number of job slaves per instance that can be created for the execution of DBMS_JOB jobs and Oracle Scheduler (DBMS_SCHEDULER) jobs.
json_document_max_depth	100	100	INT	DYNAMIC_EFFECTIVE	TENANT	maximum nesting depth allowed in a JSON document
kv_group_commit_batch_size	10	10	INT	DYNAMIC_EFFECTIVE	TENANT	Used to specify the batch size of each group commit batch in OBKV. Values: 1 means sinlge operaion in each batch, equally to disable group commit. When batch size is greater than 1, it means group commit is enable and used as its batch size. 
kv_group_commit_rw_mode	ALL	ALL	STRING	DYNAMIC_EFFECTIVE	TENANT	Used to specify the read/write operation types when group commit is enable. Values: 'ALL' means enable all operations, 'READ' mean only enable read operation in group commit, 'WRITE'  means only write operations in group commit.
kv_hbase_client_scanner_timeout_period	60000	60000	INT	DYNAMIC_EFFECTIVE	OBSERVER	OBKV Hbase client scanner query timeout, which unit is milliseconds. Range: (0, +∞) in integer. Especially, 60000 means default value
kv_transport_compress_func	none	none	STRING	DYNAMIC_EFFECTIVE	OBSERVER	compressor used for tableAPI query result. Values: none, lz4_1.0, snappy_1.0, zlib_1.0, zstd_1.0 zstd 1.3.8, zstd_1.5.7
kv_transport_compress_threshold	10K	10K	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	Together with the configuration item kv_transport_compress_func, it is used to specify the minimum threshold size of the OBKV query result set that needs to be compressed. Range: [0, +∞)
kv_ttl_duty_duration			STRING	DYNAMIC_EFFECTIVE	ROOT_SERVICE	ttl background task working time durationbegin_time or end_time in Range, e.g., [23:00:00, 24:00:00]
kv_ttl_history_recycle_interval	7d	7d	TIME	DYNAMIC_EFFECTIVE	ROOT_SERVICE	the time to recycle ttl history. Range: [1d, 180d]
large_query_threshold	600s	5s	TIME	DYNAMIC_EFFECTIVE	TENANT	threshold for execution time beyond which a request may be paused and rescheduled as a \'large request\', 0ms means disable \'large request\'. Range: [0ms, +∞)
large_query_worker_percentage	30	30	DOUBLE	DYNAMIC_EFFECTIVE	TENANT	the percentage of the workers reserved to serve large query request. Range: [0, 100] in percentage
leak_mod_to_check	NONE	NONE	STRING	DYNAMIC_EFFECTIVE	OBSERVER	the name of the module under memory leak checks
lease_time	10s	10s	TIME	DYNAMIC_EFFECTIVE	ROOT_SERVICE	Lease for current heartbeat. If the root server does not received any heartbeat from an observer in lease_time seconds, that observer is considered to be offline. Not recommended for modification. Range: [1s, 5m]
load_data_diagnosis_log_compression	AUTO	AUTO	STRING	DYNAMIC_EFFECTIVE	OBSERVER	the type of compression for the diagnosis log file, values: AUTO, NONE, ZSTD, GZIP, DEFLATE
load_data_diagnosis_log_max_size	256M	256M	CAPACITY	DYNAMIC_EFFECTIVE	OBSERVER	[0,)whenever a write to the diagnosis log file causes its size to exceed the config value, it will be renamed and a new diagnosis log file using is opened, range: [0,)
load_vector_index_on_follower	True	True	BOOL	DYNAMIC_EFFECTIVE	TENANT	Specifies whether the follower automatically loads the memory vector index.
lob_enable_block_cache_threshold	256K	256K	CAPACITY	DYNAMIC_EFFECTIVE	TENANT	For outrow-stored LOBs, if the length is less than or equal to that threshold, they can be admitted into the block cache to speed up the next query.
local_ip	127.0.0.1		STRING	READONLY	OBSERVER	the IP address of the machine on which the ObServer will be installed
location_cache_cpu_quota	5	5	DOUBLE	DYNAMIC_EFFECTIVE	TENANT	the number of vCPUs allocated for the requests regarding location info of the core tables. Range: [0,10] in integer
location_cache_refresh_min_interval	100ms	100ms	TIME	DYNAMIC_EFFECTIVE	LOCATION_CACHE	the time interval in which no request for location cache renewal will be executed. The default value is 100 milliseconds. [0s, +∞)
location_cache_refresh_rpc_timeout	500ms	500ms	TIME	DYNAMIC_EFFECTIVE	LOCATION_CACHE	The timeout used for refreshing location cache by RPC. Range: [1ms, +∞)
location_cache_refresh_sql_timeout	1s	1s	TIME	DYNAMIC_EFFECTIVE	LOCATION_CACHE	The timeout used for refreshing location cache by SQL. Range: [1ms, +∞)
location_fetch_concurrency	20	20	INT	DYNAMIC_EFFECTIVE	LOCATION_CACHE	the maximum number of the tasks for fetching location cache concurrently. Range: [1, 1000]
location_refresh_thread_count	2	2	INT	DYNAMIC_EFFECTIVE	LOCATION_CACHE	the number of threads for fetching location cache in the background. Range: (1, 64]
logservice_access_point			STR_LIST	DYNAMIC_EFFECTIVE	OBSERVER	the access point string for logservice. The default value is empty str
log_archive_concurrency	0	0	INT	DYNAMIC_EFFECTIVE	LOGSERVICE	log archive concurrency, for both archive fetcher and sender. If the value is default 0, the database will automatically calculate the number of archive worker threads based on the tenant specification, which is tenant max_cpu divided by 4; otherwise set the the worker count equals to the value.Range: [0, 100] in integer
log_disk_percentage	0	0	INT	DYNAMIC_EFFECTIVE	LOGSERVICE	the percentage of disk space used by the log files. Range: [0,99] in integer;only effective when parameter log_disk_size is 0;when log_disk_percentage is 0: a) if the data and the log are on the same disk, means log_disk_percentage = 30 b) if the data and the log are on the different disks, means log_disk_perecentage = 90
log_disk_size	15G	0M	CAPACITY	DYNAMIC_EFFECTIVE	LOGSERVICE	the size of disk space used by the log files. Range: [0, +∞)
log_disk_throttling_maximum_duration	2h	2h	TIME	DYNAMIC_EFFECTIVE	LOGSERVICE	maximum duration of log disk throttling, that is the time remaining until the log disk space is exhausted after log disk throttling triggered.
log_disk_throttling_percentage	60	60	INT	DYNAMIC_EFFECTIVE	LOGSERVICE	the threshold of the size of the log disk when writing_limit will be triggered. Rang:[40,100]. setting 100 means turn off writing limit
log_disk_utilization_limit_threshold	95	95	INT	DYNAMIC_EFFECTIVE	LOGSERVICE	maximum of log disk usage percentage before stop submitting or receiving logs, should be bigger than log_disk_utilization_threshold. Range: [80, 100]
log_disk_utilization_threshold	80	80	INT	DYNAMIC_EFFECTIVE	LOGSERVICE	log disk utilization threshold before reuse log files, should be smaller than log_disk_utilization_limit_threshold. Range: [10, 100)
