category,name,current_value,info,section,edit_level,reason,score
CPU调度,_max_px_workers_per_cpu,1,"The upper limit of PX workers that each CPU can carry. Range: [1,30]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: cpu, worker",9
CPU调度,cpu_quota_concurrency,10,"max allowed concurrency for 1 CPU quota. Range: [1,20]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cpu, concurrency",9
CPU调度,io_scheduler_thread_count,4,"Range: [1, 16] in integer. This parameter is used to adjust the number of threads in the I/O scheduler. The default value is 4. You can set it within the range of 1 to 16 to control the concurrency level of the I/O scheduler.",OBSERVER,STATIC_EFFECTIVE,"命中关键词: thread, concurrency, scheduler",9
CPU调度,px_workers_per_cpu_quota,10,"the ratio(integer) between the number of system allocated px workers vs the maximum number of threads that can be scheduled concurrently. Range: [0, 20]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cpu, worker, thread",9
CPU调度,workers_per_cpu_quota,10,"the ratio(integer) between the number of system allocated workers vs the maximum number of threads that can be scheduled concurrently. Range: [2, 20]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cpu, worker, thread",9
SQL执行,_enable_sql_audit_query_sql,False,Control whether to use sql_audit_query_sql.,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, query",9
SQL执行,_extend_sql_plan_monitor_metrics,True,Extend sql plan monitor metrics.,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: sql, plan",9
SQL执行,audit_log_query_sql,ALL,how to record the query sql. ALL: record the original query sql. NONE: not to record query sql.,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, query",9
SQL执行,location_cache_refresh_sql_timeout,1s,"The timeout used for refreshing location cache by SQL. Range: [1ms, +∞)",LOCATION_CACHE,DYNAMIC_EFFECTIVE,"命中关键词: sql, timeout",9
内存管理,__easy_memory_limit,4G,"max memory size which can be used by libeasy. The default value is 4G. Range: [256M,)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,__easy_memory_reserved_percentage,0,"the percentage of easy memory reserved size. The default value is 0. Range: [0,100]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,_memstore_limit_percentage,0,"used in calculating the value of MEMSTORE_LIMIT parameter: _memstore_limit_percentage = memstore_limit / memory_size, where MEMORY_SIZE is determined when the tenant is created. Range: [0, 100). 1. the system will use memstore_limit_percentage if only memstore_limit_percentage is set.2. the system will use _memstore_limit_percentage if both memstore_limit_percentage and _memstore_limit_percentage is set.3. the system will adjust automatically if both memstore_limit_percentage and _memstore_limit_percentage set to 0(by default).",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",9
内存管理,_pipelined_table_function_memory_limit,524288000,"pipeline table function result set memory size limit. default 524288000 (500M), Range: [1024,18446744073709551615]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,_schema_memory_recycle_interval,15m,"the time interval between the schedules of schema memory recycle task. 0 means only turn off gc current allocator, and other schema memory recycle task's interval will be 15mins. Range [0s,)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,memory_limit,11G,"the size of the memory reserved for internal use(for testing purpose), 0 means follow memory_limit_percentage. Range: 0, [1G,).",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,memory_limit_percentage,80,"the size of the memory reserved for internal use(for testing purpose). Range: [10, 95]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,memory_reserved,500M,"the size of the system memory reserved for emergency internal use. Range: [10M, total size of memory]",SSTABLE,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem",9
内存管理,memstore_limit_percentage,0,"used in calculating the value of MEMSTORE_LIMIT parameter: memstore_limit_percentage = memstore_limit / memory_size, where MEMORY_SIZE is determined when the tenant is created. Range: [0, 100). 1. the system will use memstore_limit_percentage if only memstore_limit_percentage is set.2. the system will use _memstore_limit_percentage if both memstore_limit_percentage and _memstore_limit_percentage is set.3. the system will adjust automatically if both memstore_limit_percentage and _memstore_limit_percentage set to 0(by default).",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",9
内存管理,ob_deterministic_udf_cache_max_size,16M,"deternimistic cache can use max size memory(in bytes). if it's zero, disable cache",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache, tenant",9
内存管理,result_cache_max_size,64M,"result cache can use max size memory(in bytes) of library cache. if it's zero, disable result cache",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache, tenant",9
磁盘IO,_compaction_prewarm_percentage,0,"specifies the fixed percentage data to prewarm in compactionRange: [0, 100] in integer0 means not use this method, value > 0 means the corresponding percentage of data will be prewarmed",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,_enable_adaptive_compaction,True,specifies whether allow adaptive compaction schedule and information collection,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,_enable_compaction_diagnose,False,enable compaction diagnose functionValue:  True:turned on;  False: turned off,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,_minor_compaction_amplification_factor,0,"thre L1 compaction write amplification factor, 0 means default 25, Range: [0,100] in integer",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,_server_standby_fetch_log_bandwidth_limit,0MB,the max bandwidth in bytes per second that can be occupied by the synchronizing log from primary cluster of a server in standby cluster,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: log, bandwidth",9
磁盘IO,_ss_disk_space_calibration_time_interval,1h,"The execution interval of disk space calibration task in shared storage mode,Range: [1s, )",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, disk",9
磁盘IO,_ss_major_compaction_prewarm_level,0,"the level of major compaction prewarm in shared storage mode. Range: [0, 2] 0: prewarm both meta and data, 1: only prewarm meta, 2: prewarm none of meta and data. this prewarm level should be set before one round of major compaction.",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,audit_log_compression,NONE,"the type of compression for the audit log file, values: NONE, ZSTD",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log",9
磁盘IO,clog_sync_time_warn_threshold,100ms,"the time given to the commit log synchronization between a leader and its followers before a \'warning\' message is printed in the log file.  Range: [1ms,1000ms]",TRANS,DYNAMIC_EFFECTIVE,"命中关键词: io, log, clog",9
磁盘IO,compaction_dag_cnt_limit,50000,"the compaction dag count limit. Range: [10000,500000] in integer. default value is 50000",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,compaction_high_thread_score,0,"the current work thread score of high priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,compaction_low_thread_score,0,"the current work thread score of low priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,compaction_mid_thread_score,0,"the current work thread score of middle priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,compaction_schedule_tablet_batch_cnt,50000,"the batch size when scheduling tablet to execute compaction task. Range: [10000,500000] in integer. default value is 50000",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,disk_io_thread_count,8,"The number of io threads on each disk. The default value is 8. Range: [2,32] in even integer",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, disk",9
磁盘IO,dump_data_dictionary_to_log_interval,0s,"data dictionary dump to log(SYS LS) intervalRange: (0s,+∞)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, log",9
磁盘IO,load_data_diagnosis_log_compression,AUTO,"the type of compression for the diagnosis log file, values: AUTO, NONE, ZSTD, GZIP, DEFLATE",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: io, log",9
磁盘IO,log_storage_warning_tolerance_time,5s,"time to tolerate log disk io delay, after that, the disk status will be set warning. Range: [1s,300s]",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, log",9
磁盘IO,log_storage_warning_trigger_percentage,0,"The performance decrease percentage threshold that may trigger a log disk failure. The higher the value, the more sensitive it is. The default value is 0, Range: [0,50].The default value is 0, which means the log disk will be considered to have failure only if any IO RT exceeds log_storage_warning_tolerance_time. If the value is greater than 0, which means the log disk will be considered to have failure only if current IO throughput < (normal throughput * log_storage_warning_trigger_percentage / 100) and performance degradation has been ongoing for log_storage_warning_tolerance_time seconds. If the parameter needs to be set, it is recommended to set a value less than 10 to avoid misjudgment.",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, log",9
磁盘IO,mds_compaction_high_thread_score,0,"the current work thread score of mds high priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,mds_compaction_mid_thread_score,0,"the current work thread score of mds middle priority compaction. Range: [0,100] in integer. Especially, 0 means default value",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,ob_compaction_schedule_interval,120s,"the time interval to schedule compaction, Range: [3s,5m]Range: [3s, 5m]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,row_compaction_update_limit,6,"maximum update count before trigger row compaction. Range: [1, 6400]",TRANS,DYNAMIC_EFFECTIVE,"命中关键词: io, compaction",9
磁盘IO,shared_log_retention,1d,Retention time of log files on shared storage,TRANS,DYNAMIC_EFFECTIVE,"命中关键词: io, log",9
磁盘IO,standby_fetch_log_bandwidth_limit,0MB,the max bandwidth in bytes per second that can be occupied by the sum of the synchronizing log from primary cluster of all servers in the standby cluster,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: log, bandwidth",9
磁盘IO,syslog_disk_size,0M,"the size of disk space used by the syslog files. Range: [0, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: disk, log",9
CPU调度,log_archive_concurrency,0,"log archive concurrency, for both archive fetcher and sender. If the value is default 0, the database will automatically calculate the number of archive worker threads based on the tenant specification, which is tenant max_cpu divided by 4; otherwise set the the worker count equals to the value.Range: [0, 100] in integer",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: cpu, worker, thread, concurrency",8
CPU调度,log_restore_concurrency,0,"log restore concurrency, for both the restore tenant and standby tenant. If the value is default 0, the database will automatically calculate the number of restore worker threads based on the tenant specification, which is tenant max_cpu; otherwise set the the worker count equals to the value.Range: [0, 100] in integer",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: cpu, worker, thread, concurrency",8
SQL执行,_px_worker_share_plan_enabled,True,Enable parallel execution optimization by sharing plan and only serializing necessary expressions.,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: plan, px",8
SQL执行,ob_query_switch_leader_retry_timeout,0ms,"max time spend on retry caused by leader swith or network disconnectionRange: [0ms, +∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: query, timeout, connection",8
SQL执行,sql_plan_management_mode,Disable,"Specifies how spm work.""Disable"" represent disable spm (default value).""OnlineEvolve"" represent evolve plan online.",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: sql, plan",8
内存管理,_enable_plan_cache_mem_diagnosis,False,wether turn plan cache ref count diagnosis on,OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: mem, cache",8
内存管理,_ob_enable_fast_freeze,True,specifies whether the tenant's fast freeze is enabledValue: True:turned on;  False: turned off,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: tenant, freeze",8
内存管理,_ss_micro_cache_size_max_percentage,20,"The percentage of tenant disk size used by ss_micro_cache in shared_storage mode,Range: [1, 99]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",8
内存管理,freeze_trigger_percentage,20,"the threshold of the size of the mem store when freeze will be triggered. Rang:(0,100)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: mem, tenant, freeze",8
内存管理,range_optimizer_max_mem_size,128M,"to limit the memory consumption for the query range optimizer. Range: [0M,+∞), 0 stands for unlimited",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant",8
磁盘IO,arbitration_degradation_policy,LS_POLICY,"specifies the degradation policy, whether to check network connectivity with RS before arbitration degrades. Value: LS_POLICY, CLUSTER_POLICY LS_POLICY: default policy. CLUSTER_POLICY: check network connectivity with RS before arbitration degrades. Do not degrade when not connected. Then, switch log stream leaders to the replicas which are connected with RS.",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",8
磁盘IO,datafile_disk_percentage,0,"the percentage of disk space used by the data files. Range: [0,99] in integer",SSTABLE,DYNAMIC_EFFECTIVE,"命中关键词: disk, datafile",8
磁盘IO,log_storage_compress_all,False,specifies whether to compress logs before storing. The default is false(no compression),LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",8
磁盘IO,log_storage_compress_func,lz4_1.0,"specifies the algorithms used for log storage compression. Values: lz4_1.0, zstd_1.0, zstd_1.3.8, zstd_1.5.7",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",8
磁盘IO,log_transport_compress_all,False,"If this option is set to true, use compression for log transport. The default is false(no compression)",LOGSERVICE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",8
SQL执行,_query_record_size_limit,65536,"set sql_audit and plan stat query sql size. Range: [0,67108864] in integer in integer.",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, query, plan",7
SQL执行,internal_sql_execute_timeout,30s,"the number of microseconds an internal DML request is permitted to execute before it is terminated. Range: [1000us, 1h]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: sql, timeout",7
内存管理,_enable_seq_wrap_around_flush_cache,True,Specifies whether to enable clearing cache when sequence wrap around ,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,_fuse_row_cache_activate_threshold,6,Determine if queries should use fuse_row_cache based on a configurable cache hit rate threshold.,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,_px_max_message_pool_pct,40,"The maxinum percent of tenant memory that DTL message buffer pool can alloc memory. Range: [0,90]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant, buffer",7
内存管理,_ss_hidden_sys_tenant_data_disk_size,0M,"the size of the data disk reserved for hidden sys tenant in shared storage mode, 0M means follow the adjusting value.",TENANT,DYNAMIC_EFFECTIVE,命中关键词: tenant,7
内存管理,_ss_local_cache_expiration_time,0s,"The expiration time of local cache data in shared storage mode,Range: [0s, )",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,_ss_macro_cache_miss_threshold_for_prefetch,10,"the threshold for local cache miss times of one same macro block, which triggers prefetching of the macro block to local macro cache in shared storage mode,Range: [1, 10000]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,_ss_micro_cache_arc_limit_percent,70,"the percent of disk space occupied when trigger eviction based on the ARC algo of ss_micro_cache in shared storage mode,Range: [10, 90]",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,_temporary_file_io_area_size,1,"memory buffer size of temporary file, as a percentage of total tenant memory. Range: [0, 50), percentage",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, tenant, buffer",7
内存管理,audit_log_buffer_size,16M,"[16M,)the buffer size of async audit logRange: [16M, total size of memory]",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, buffer",7
内存管理,bf_cache_miss_count_threshold,100,"bf cache miss count threshold, 0 means disable bf cache. Range:[0, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,bf_cache_priority,1,"bf cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,cache_wash_threshold,4GB,"size of remaining memory at which cache eviction will be triggered. Range: [0,+∞)",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache",7
内存管理,enable_adaptive_plan_cache,False,enable/disable adaptive plan cache,TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,fuse_row_cache_priority,1,"fuse row cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,index_block_cache_priority,10,"index cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,lob_enable_block_cache_threshold,256K,"For outrow-stored LOBs, if the length is less than or equal to that threshold, they can be admitted into the block cache to speed up the next query.",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,location_cache_refresh_min_interval,100ms,"the time interval in which no request for location cache renewal will be executed. The default value is 100 milliseconds. [0s, +∞)",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,location_cache_refresh_rpc_timeout,500ms,"The timeout used for refreshing location cache by RPC. Range: [1ms, +∞)",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,ob_result_cache_evict_percentage,90,"result cache hold memory over xx%(defalut 90) of total memory, try to evict cache obj.",OBSERVER,DYNAMIC_EFFECTIVE,"命中关键词: memory, mem, cache",7
内存管理,opt_tab_stat_cache_priority,1,"tab stat cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,plan_cache_evict_interval,5s,"time interval for periodic plan cache eviction. Range: [0s, +∞)",TENANT,DYNAMIC_EFFECTIVE,"命中关键词: cache, tenant",7
内存管理,storage_meta_cache_priority,10,"storage meta cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,tablet_ls_cache_priority,1000,"tablet ls cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,tenant_sql_login_thread_count,0,"the number of threads for sql login request of each tenant. Range: [0, 32] in integer, 0 stands for unit_min_cpu",TENANT,DYNAMIC_EFFECTIVE,命中关键词: tenant,7
内存管理,tenant_sql_net_thread_count,0,"the number of mysql I/O threads for a tenant. Range: [0, 64] in integer, 0 stands for unit_min_cpu",TENANT,DYNAMIC_EFFECTIVE,命中关键词: tenant,7
内存管理,user_block_cache_priority,1,"user block cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,user_row_cache_priority,1,"user row cache priority. Range:[1, )",CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
内存管理,virtual_table_location_cache_expire_time,8s,"expiration time for virtual table location info in partition location cache. Range: [1s, +∞)",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: cache,7
磁盘IO,_auto_broadcast_tablet_location_rate_limit,10000,"Maximum number of tablets broadcasted per second by a single observer. When the value is 0, it means shutting down related logic.",LOCATION_CACHE,DYNAMIC_EFFECTIVE,"命中关键词: io, log",7
磁盘IO,_auto_refresh_tablet_location_interval,10m,"Polling period of auto refresh tablet location service. When the value is 0, it means shutting down related service. Range: [0s, +∞)",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: io,7
磁盘IO,_enable_log_cache,True,specifies whether allow to fill log kv cache. Value:  True:turned on  False: turned off,LOGSERVICE,DYNAMIC_EFFECTIVE,命中关键词: log,7
磁盘IO,_log_writer_parallelism,3,the number of parallel log writer threads that can be used to write redo log entries to disk. ,LOGSERVICE,STATIC_EFFECTIVE,"命中关键词: disk, log",7
磁盘IO,_ob_enable_standby_db_parallel_log_transport,True,Specifies whether the parallel log transport protocol is enabled on the standby database. The parallel log transport protocol is enabled only if this parameter is true and the primary database is compatible with the parallel log transport protocol.,LOGSERVICE,DYNAMIC_EFFECTIVE,命中关键词: log,7
磁盘IO,external_table_disk_cache_max_percentage,50,"The maximum ratio of external table disk space to datafile_size in shared-nothing mode, ranges from [0, 95] in integer, with a default of 50",SSTABLE,DYNAMIC_EFFECTIVE,"命中关键词: io, disk, datafile",7
磁盘IO,location_fetch_concurrency,20,"the maximum number of the tasks for fetching location cache concurrently. Range: [1, 1000]",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: io,7
磁盘IO,location_refresh_thread_count,2,"the number of threads for fetching location cache in the background. Range: (1, 64]",LOCATION_CACHE,DYNAMIC_EFFECTIVE,命中关键词: io,7
磁盘IO,log_transport_compress_func,lz4_1.0,"compressor used for log transport. Values: none, lz4_1.0, zstd_1.0, zstd_1.3.8, zstd_1.5.7",LOGSERVICE,DYNAMIC_EFFECTIVE,命中关键词: log,7
磁盘IO,standby_db_fetch_log_rpc_timeout,15s,"The threshold for detecting the RPC timeout for the standby tenant to fetch log from the log restore source tenant. When the rpc timeout, the log transport service switches to another server of the log restore source tenant to fetch logs. Range: [2s, +∞)",LOGSERVICE,DYNAMIC_EFFECTIVE,命中关键词: log,7
